id,price
1189295,22.25
1189296,22.88
1189299,25.25
1189306,25.31
1189307,25.25
1189312,25.35
1189315,25.37
1189316,25.46
1189317,25.62
1189318,25.46
1189319,25.37
1189326,25.41
1189327,25.37
1189329,25.52
1189330,25.37
1189335,25.52
1189347,25.54
1189351,25.53
1189352,25.52
1189353,25.54
1189354,25.52
1189355,25.53
1189357,25.54
1189359,25.53
1189360,25.51
1189361,25.55
1189363,25.51
1189364,25.55
1189379,25.53
1189394,25.56
1189404,25.6
1189407,25.61
1189409,25.62
1189412,25.68
1189413,25.66
1189414,25.67
1189417,25.7
1189418,25.71
1189431,25.67
1189434,25.66
1189437,25.67
1189438,25.66
1189444,25.67
1189445,25.66
1189448,25.67
1189449,25.66
1189463,25.62
1189467,25.61
1189476,25.6
1189479,25.61
1189480,25.6
1189483,25.61
1189484,25.68
1189485,25.61
1189487,25.6
1189492,25.61
1189493,25.6
1189495,25.61
1189496,25.6
1189498,25.61
1189499,25.6
1189502,25.68
1189510,25.62
1189512,25.68
1189517,25.67
1189521,25.68
1189522,25.69
1189524,25.68
1189525,25.69
1189531,25.7
1189536,25.71
1189537,25.73
1189543,25.75
1189544,25.73
1189546,25.75
1189547,25.73
1189551,25.77
1189554,25.73
1189556,25.72
1189557,25.73
1189558,25.74
1189559,25.73
1189562,25.74
1189565,25.76
1189567,25.77
1189569,25.76
1189571,25.74
1189574,25.72
1189578,25.73
1189579,25.74
1189586,25.76
1189588,25.74
1189590,25.73
1189591,25.72
1189592,25.73
1189593,25.72
1189594,25.78
1189599,25.79
1189600,25.8
1189607,25.84
1189608,25.8
1189610,25.79
1189611,25.8
1189612,25.82
1189616,25.85
1189617,25.86
1189619,25.88
1189620,25.91
1189621,25.88
1189622,25.86
1189624,25.88
1189626,25.89
1189628,25.9
1189638,25.92
1189639,25.93
1189641,25.91
1189642,25.96
1189646,25.97
1189647,25.98
1189648,25.97
1189649,25.96
1189655,25.98
1189658,25.97
1189661,25.98
1189662,26
1189665,25.98
1189666,25.97
1189668,25.98
1189676,26.01
1189678,26.03
1189680,26.04
1189682,26.03
1189689,26.02
1189690,25.98
1189698,26.01
1189700,26.02
1189703,26.01
1189704,25.98
1189710,26.02
1189711,25.98
1189712,25.99
1189713,25.98
1189714,25.96
1189717,25.97
1189719,25.98
1189729,25.99
1189730,25.98
1189732,25.96
1189735,25.98
1189742,25.96
1189745,25.98
1189749,25.96
1189751,25.98
1189754,25.96
1189760,25.93
1189761,25.91
1189764,25.87
1189767,25.86
1189772,25.84
1189776,25.86
1189779,25.84
1189782,25.82
1189784,25.8
1189788,25.81
1189789,25.8
1189790,25.81
1189792,25.82
1189793,25.81
1189810,25.8
1189813,25.77
1189817,25.74
1189819,25.75
1189821,25.7
1189824,25.74
1189826,25.7
1189828,25.69
1189833,25.68
1189836,25.7
1189837,25.64
1189843,25.65
1189844,25.64
1189845,25.65
1189847,25.64
1189849,25.66
1189851,25.64
1189860,25.61
1189867,25.63
1189870,25.71
1189871,25.66
1189875,25.68
1189881,25.66
1189884,25.63
1189887,25.66
1189888,25.67
1189890,25.68
1189893,25.67
1189898,25.66
1189901,25.63
1189906,25.64
1189909,25.63
1189914,25.64
1189915,25.63
1189916,25.64
1189917,25.65
1189919,25.64
1189922,25.65
1189923,25.64
1189939,25.63
1189952,25.68
1189956,25.65
1189957,25.64
1189958,25.65
1189960,25.64
1189964,25.7
1189965,25.64
1189966,25.74
1189967,25.68
1189968,25.65
1189970,25.69
1189971,25.7
1189979,25.73
1189981,25.75
1189983,25.73
1189984,25.71
1189986,25.7
1189989,25.79
1189995,25.71
1189998,25.72
1190003,25.73
1190005,25.79
1190007,25.8
1190009,25.79
1190011,25.81
1190013,25.79
1190015,25.81
1190017,25.79
1190018,25.8
1190022,25.79
1190025,25.8
1190028,25.83
1190030,25.85
1190035,25.81
1190044,25.8
1190051,25.81
1190052,25.8
1190055,25.83
1190056,25.87
1190058,25.88
1190060,25.81
1190066,25.82
1190067,25.86
1190069,25.82
1190072,25.81
1190076,25.8
1190078,25.79
1190080,25.8
1190081,25.79
1190083,25.8
1190085,25.79
1190088,25.76
1190092,25.75
1190093,25.77
1190094,25.75
1190107,25.77
1190108,25.75
1190109,25.77
1190110,25.76
1190112,25.77
1190113,25.76
1190116,25.78
1190117,25.8
1190122,25.82
1190126,25.77
1190130,25.85
1190131,25.77
1190133,25.8
1190135,25.82
1190138,25.8
1190139,25.81
1190144,25.77
1190147,25.79
1190149,25.82
1190150,25.83
1190152,25.81
1190154,25.82
1190155,25.81
1190158,25.82
1190173,25.85
1190174,25.83
1190178,25.82
1190188,25.84
1190189,25.82
1190200,25.85
1190202,25.82
1190203,25.83
1190204,25.82
1190211,25.78
1190215,25.77
1190218,25.76
1190221,25.75
1190224,25.78
1190225,25.79
1190228,25.78
1190231,25.79
1190233,25.78
1190234,25.76
1190237,25.83
1190238,25.76
1190239,25.83
1190240,25.76
1190241,25.77
1190242,25.83
1190243,25.77
1190246,25.76
1190248,25.75
1190250,25.76
1190253,25.78
1190257,25.75
1190263,25.72
1190265,25.74
1190267,25.72
1190272,25.73
1190274,25.74
1190275,25.73
1190278,25.72
1190287,25.71
1190289,25.65
1190290,25.71
1190291,25.65
1190308,25.69
1190313,25.65
1190321,25.66
1190322,25.65
1190325,25.63
1190331,25.62
1190334,25.65
1190336,25.63
1190337,25.62
1190341,25.6
1190345,25.61
1190347,25.6
1190349,25.57
1190350,25.6
1190353,25.57
1190363,25.56
1190367,25.54
1190374,25.53
1190376,25.52
1190378,25.53
1190379,25.52
1190390,25.54
1190392,25.55
1190394,25.56
1190397,25.57
1190398,25.54
1190399,25.52
1190400,25.54
1190404,25.55
1190407,25.56
1190408,25.55
1190410,25.56
1190416,25.55
1190417,25.56
1190418,25.53
1190429,25.52
1190438,25.51
1190439,25.52
1190440,25.51
1190447,25.5
1190456,25.49
1190457,25.5
1190458,25.49
1190462,25.51
1190464,25.52
1190465,25.51
1190466,25.52
1190467,25.49
1190468,25.5
1190470,25.49
1190473,25.5
1190474,25.51
1190477,25.49
1190478,25.5
1190482,25.51
1190484,25.5
1190486,25.51
1190487,25.5
1190497,25.52
1190500,25.53
1190502,25.49
1190503,25.5
1190505,25.52
1190506,25.53
1190509,25.52
1190512,25.54
1190514,25.55
1190520,25.51
1190522,25.52
1190524,25.53
1190528,25.51
1190532,25.52
1190533,25.53
1190538,25.52
1190539,25.53
1190540,25.52
1190545,25.53
